TIME, X, Y, Z
685355.03413, 0.005, 1.062, 8.853
685355.05397, -0.172, 1.010, 9.112
685355.07407, -0.536, 0.608, 10.448
685355.09387, -0.321, 0.617, 11.267
685355.11383, -0.182, 0.631, 10.002
685355.13384, 0.053, 0.880, 8.365
685355.15371, -0.278, 0.895, 8.221
685355.17359, -0.163, 0.904, 9.136
685355.19393, 0.048, 0.847, 9.787
685355.21369, 0.129, 0.809, 9.634
685355.23371, -0.192, 0.866, 9.011
685355.25400, -0.211, 0.938, 8.982
685355.27363, -0.077, 0.948, 9.346
685355.29357, -0.053, 0.842, 9.739
685355.31385, -0.115, 0.694, 9.600
685355.33330, -0.350, 0.756, 9.035
685355.35323, -0.235, 1.115, 8.638
685355.37350, -0.417, 1.110, 8.724
685355.39325, -0.201, 0.976, 9.552
685355.41325, -0.081, 0.742, 9.945
685355.43333, -0.215, 0.962, 9.576
685355.45301, -0.057, 1.062, 9.126
